"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-625-5p",0,0,0,24,0,0,0,18,49,10,54,0,10,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-628-3p",0,0,0,1086,0,0,2699,0,0,115,0,582,0,1316,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1182,0,0,0
"hsa-miR-628-5p",0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,81,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-629-3p",0,0,0,2,0,0,0,0,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-641",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-651-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-654-5p",0,0,0,14,0,0,0,45,49,5,0,41,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,49,41,0,27
"hsa-miR-664a-3p",0,0,0,17,12,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"hsa-miR-664b-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-671-5p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6721-5p",0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6741-3p",0,0,0,19733,0,0,0,111682,0,1,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"hsa-miR-6754-3p",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6772-3p",0,0,0,341,0,0,0,353,0,1139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1544,0,1024
"hsa-miR-6783-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"hsa-miR-6802-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6804-3p",0,0,0,2,0,0,41,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6816-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6817-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6819-3p",0,0,0,2,0,0,41,9,0,5,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,49,20,0,27
"hsa-miR-6836-5p",0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"hsa-miR-6837-3p",0,0,0,7,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6842-3p",0,0,0,498,0,0,0,416,0,161,0,171,0,460,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,117,541
"hsa-miR-6852-5p",0,0,0,1833,954,0,0,2708,1046,4673,2199,975,627,1558,0,0,0,1,1,0,0,0,0,0,0,0,0,3932,1746,417,2196,3947,3919,0
"hsa-miR-6861-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6892-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6894-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6895-5p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-744-3p",0,0,0,7,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-758-3p",0,0,0,2,0,0,0,0,0,0,0,0,10,10,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-766-3p",0,0,0,36,0,0,0,18,0,29,68,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,61,41,27
"hsa-miR-7705",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7849-3p",0,0,0,12,0,0,0,0,0,14,0,5,0,10,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7854-3p",0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7977",0,0,0,438,551,0,0,0,1656,962,0,181,494,0,0,0,0,1,1,0,0,1,0,1,0,0,1,908,0,354,508,0,137,927
"hsa-miR-873-3p",0,0,0,44,0,0,0,0,0,0,446,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,228,341,84,0,0,76,0
"hsa-miR-874-3p",0,0,0,1319,1443,3445,2543,3443,2005,5213,767,1312,4489,1762,7707,0,0,1,0,1,1,1,1,0,1,1,1,4105,4547,2059,4283,3001,1736,5379
"hsa-miR-889-3p",0,0,0,12,6,0,0,0,0,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-9-5p",0,0,0,173,0,0,1044,0,410,0,698,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,627
"hsa-miR-92a-1-5p",0,0,0,11538,34439,0,0,0,119654,1,0,1,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0
"hsa-miR-937-3p",0,0,0,2,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"hsa-miR-943",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-95-3p",0,0,0,2,17,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
"hsa-miR-10396b-3p",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
