"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-181a-2-3p",1,4,1,11,12,4,0,6,5,20,6,10,4,18,0,0,1,1,2,1,1,0,0,2,4,9,1,1,1,16,4,0,2,3
"hsa-miR-181b-5p",7,13,6,67,55,24,10,21,29,68,48,95,44,87,17,6,6,11,23,2,3,4,16,27,12,13,13,10,15,32,33,2,31,31
"hsa-miR-184",1,26,0,1,17,11,1,69,11,1,3,9,3,0,4,6,1,1,38,16,2,2,1,3,1,29,2,1,1,9,1,2,1,1
"hsa-miR-1908-5p",1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-192-5p",9,48,15,200,182,44,16,79,134,73,43,137,98,129,29,11,13,50,15,20,20,22,29,50,37,21,26,27,25,29,37,20,42,22
"hsa-miR-197-5p",1,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",2,7,5,3,1,4,3,1,3,0,2,6,13,3,1,3,3,9,4,5,5,3,0,25,3,7,5,1,1,7,0,0,2,2
"hsa-miR-204-5p",1,5,1,33,40,14,0,24,1,9,6,17,9,6,0,0,3,7,7,1,0,1,8,2,5,10,6,4,2,5,2,1,1,5
"hsa-miR-210-3p",1,0,0,1,1,0,0,0,0,0,0,1,1,548,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,1,0
"hsa-miR-222-3p",1,8,3,178,29,1,8,43,28,201,52,216,57,111,21,0,3,11,13,3,3,3,3,8,5,1,2,18,24,27,51,48,47,44
"hsa-miR-222-5p",1,1,0,1,1,1,1,0,1,0,0,483,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0
"hsa-miR-223-3p",4,11,3,128,31,6,0,9,26,61,43,117,73,63,13,5,1,3,8,2,6,12,7,11,2,17,6,4,11,22,29,5,37,47
"hsa-miR-23a-3p",1,13,7,66,28,0,5,25,14,60,30,90,35,55,13,1,5,5,13,6,2,7,10,20,2,13,5,14,18,25,6,9,37,12
"hsa-miR-23b-3p",1,1,0,2,1,1,1,1,1,14880,1961,20763,5099,10721,1946,0,0,1,1,1,1,1,1,1,1,1,0,1,0,9783,1046,2599,2833,4954
"hsa-miR-24-3p",1,1,1,72,19,10,5,18,11,22,7,19,11,11,4,2,1,1,6,5,5,0,3,6,2,2,0,1,0,9,7,2,17,9
"hsa-miR-26b-5p",8,27,8,286,102,36,19,49,36,68,38,98,49,57,25,8,7,20,25,24,7,7,16,36,7,36,9,6,15,41,45,5,9,37
"hsa-miR-27a-3p",6,18,9,141,104,16,11,19,21,42,20,47,13,24,9,7,6,19,24,28,5,4,8,16,8,36,3,9,8,12,9,5,11,14
"hsa-miR-28-3p",12,47,17,1359,392,83,37,323,195,498,238,484,243,330,54,12,15,30,56,36,21,9,39,36,17,34,35,37,56,212,149,117,151,121
"hsa-miR-30a-3p",1,1,1,16,14,0,3,1,1,0,1,15,7,12,0,1,0,5,5,2,0,0,0,4,2,7,2,3,3,1,5,0,1,2
"hsa-miR-30b-5p",3,4,0,38,19,1,3,10,5,24,10,15,13,16,5,0,2,1,2,8,1,4,7,2,2,5,0,1,1,9,5,7,12,1
"hsa-miR-30c-1-3p",1,0,0,1,0,1,1,0,1,0,0,468,247,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,206,0,0,1,1
