"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-3168",277,0,0,0,12,0,0,119,21,11,5,2,3,0,19,106,75,0,134,0,182,273,93,79,0,84,121,8,9,11,5,0,0,11
"hsa-miR-320a-3p",677,358,910,1486,378,692,1533,630,378,611,414,396,589,121,551,604,651,814,920,419,711,242,642,1272,680,554,788,447,194,259,302,404,914,432
"hsa-miR-335-5p",120,0,0,77,5,0,0,0,0,0,12,2,34,0,0,99,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
"hsa-miR-342-3p",1027,365,619,483,566,615,645,912,192,1992,762,306,1158,125,394,298,1003,588,786,712,1068,750,818,538,567,951,528,261,1057,403,680,935,618,1229
"hsa-miR-342-5p",348,37,117,72,84,298,227,45,36,153,107,41,92,11,18,0,333,83,385,68,0,293,266,0,77,370,220,70,10,81,71,24,44,171
"hsa-miR-3614-5p",1,1,1,0,1,0,1,2,0,59377,0,11976,21054,0,0,0,0,1,0,0,0,0,0,0,3,0,0,10700,0,0,35206,28755,0,33439
"hsa-miR-3615",1,1,1,1,1,1,1,1,1,474129,319318,125779,254254,24148,630071,0,0,1,1,0,1,2,1,2,1,0,1,263398,539897,69535,58753,140881,480175,470288
"hsa-miR-363-3p",598,712,803,653,821,512,175,313,290,237,97,158,159,61,194,1154,219,532,912,613,670,1146,910,1134,288,622,823,103,112,141,167,88,150,234
"hsa-miR-373-3p",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-374a-5p",1,1,0,1,1,0,0,0,1,27429,10682,0,7590,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18908,0,0,21668,14363,0,0
"hsa-miR-378a-3p",187,216,63,132,89,100,122,59,16,333,345,93,98,32,33,144,155,134,275,314,141,44,192,142,158,148,135,21,0,176,167,221,71,400
"hsa-miR-409-3p",225,48,0,1477,245,49,198,597,202,326,139,165,19,24,28,182,0,25,421,98,99,0,94,81,61,0,67,11,57,195,147,270,26,73
"hsa-miR-425-5p",180,319,419,1049,363,250,79,198,206,1040,429,269,333,107,222,346,245,316,521,403,76,287,263,315,280,285,567,260,129,546,435,517,506,229
"hsa-miR-4521",129,81,0,47,55,83,0,8,16,24,47,35,133,9,33,139,0,0,64,0,161,129,152,38,97,41,58,40,78,27,21,9,22,120
"hsa-miR-4732-3p",304,193,510,35,157,65,391,86,74,51,53,40,130,27,141,664,0,317,308,224,125,530,569,419,254,439,456,154,86,91,72,49,44,0
"hsa-miR-4802-3p",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-486-3p",354,348,80,254,185,253,154,119,181,94,47,47,124,38,83,422,85,321,115,217,406,229,442,127,318,297,349,161,73,50,58,39,106,0
"hsa-miR-500a-3p",172,19,0,86,34,0,0,33,14,277,57,48,30,2,0,126,0,143,74,0,0,57,52,0,310,0,0,16,39,85,53,77,70,109
"hsa-miR-501-3p",186,117,125,592,201,121,0,431,84,148,42,23,70,10,22,182,95,234,236,120,173,0,0,225,0,105,399,64,81,13,39,26,63,61
"hsa-miR-532-5p",1,1,0,1,1,1,1,1,1,244010,77908,58769,118992,37485,54014,0,0,1,1,1,1,1,1,1,1,2,1,46215,50917,112639,23611,174903,92426,146118
"hsa-miR-584-5p",169,0,226,2510,215,402,297,703,187,1066,222,149,92,22,88,123,133,200,253,150,186,86,43,37,170,160,145,162,111,97,200,321,398,493
"hsa-miR-6125",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,0,0,32,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511b-3p",120,0,0,0,0,0,0,0,0,9,0,0,0,0,49,0,0,33,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-652-3p",159,134,107,158,191,0,0,69,58,23,50,90,21,10,30,0,265,88,99,132,0,75,126,249,278,63,306,0,0,38,60,74,86,0
"hsa-miR-6722-5p",526,498,1055,95,56,279,787,197,84,26,130,22,44,18,57,737,606,411,1418,635,644,1476,375,598,0,961,890,79,107,43,22,15,14,51
"hsa-miR-6816-5p",120,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-744-5p",186,40,125,1331,118,0,163,468,133,2968,834,259,242,84,563,0,231,93,275,42,171,0,162,116,192,147,52,299,284,569,835,1540,614,1269
"hsa-miR-769-5p",1,0,1,1,1,1,0,1,1,150001,90324,25339,52669,15900,77167,0,0,1,0,0,0,1,0,2,1,1,2,339917,49169,0,51440,0,49170,0
"hsa-miR-93-3p",1,0,0,1,1,0,0,1,0,8576,10615,0,0,635,0,0,0,0,0,0,3,0,0,0,0,0,0,8500,0,0,15218,0,2528,0
"hsa-miR-939-5p",120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
