"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-411-5p",0,0,0,1281,146,0,1050,301,663,1080,1282,107,0,1355,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2733
"hsa-miR-412-5p",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-424-5p",0,0,0,6,0,88,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
"hsa-miR-425-3p",0,0,0,1105,0,0,0,387,0,784,0,1301,373,864,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,947,1281,744,0
"hsa-miR-4267",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-431-5p",0,0,0,1023,211,0,0,435,1485,1337,907,1444,0,954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2218,2855,0,464,0
"hsa-miR-432-5p",0,0,0,89,0,0,0,77,67,103,63,116,12,56,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,127,13,0
"hsa-miR-433-3p",0,0,0,13,0,0,0,13,13,6,38,6,0,14,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-433-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4422",0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
"hsa-miR-4433b-3p",0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4435",0,0,0,16,0,0,0,38,13,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,23
"hsa-miR-4446-3p",0,0,0,2193,164,0,0,4060,1904,8571,2091,263,985,1791,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2520,7742,2525,5191,5323,0
"hsa-miR-4449",0,0,0,3,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
"hsa-miR-450a-5p",0,0,0,220,299,735,0,0,326,0,633,265,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1051,0,0,0
"hsa-miR-454-5p",0,0,0,1904,266,0,0,0,598,248,0,492,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,508,0,420,0,0,0,0
"hsa-miR-4645-3p",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4647",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"hsa-miR-4662a-5p",0,0,0,10,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
"hsa-miR-4665-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4666a-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4687-5p",0,0,0,13,0,0,0,0,0,0,0,12,37,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,42,0,0
