"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-155-5p",1,1,1,1,1,0,1,1,1,1607,1959,2872,1398,2561,2104,0,0,1,1,1,1,1,1,1,1,1,1,0,0,692,3899,3995,1,1359
"hsa-miR-15a-5p",11,18,13,4,20,4,7,3,10,8,8,65,19,55,33,27,0,8,11,9,4,9,12,9,10,12,23,29,19,13,21,13,22,12
"hsa-miR-15b-5p",1,1,0,1,1,1,1,1,1,569,452,959,972,905,2667,0,0,1,1,1,1,0,1,1,0,0,1,669,0,0,1916,1300,666,0
"hsa-miR-16-5p",447,435,244,214,455,269,297,235,411,96,94,207,172,253,203,457,339,232,218,240,158,321,455,284,208,288,369,202,154,120,127,93,139,95
"hsa-miR-17-5p",7,0,0,3,0,2,0,1,1,2,0,1,2,1,3,3,4,3,0,4,0,2,4,4,0,3,0,0,0,1,1,1,1,3
"hsa-miR-181a-2-3p",3,4,2,2,4,5,0,3,4,5,3,1,1,8,0,0,4,1,2,1,1,0,0,1,6,9,1,1,1,8,2,0,1,3
"hsa-miR-181b-5p",30,13,16,8,14,31,21,11,18,18,28,22,19,43,25,24,19,9,27,3,4,8,18,20,21,14,22,16,25,19,21,2,17,38
"hsa-miR-184",9,29,0,0,3,13,5,43,6,0,2,2,1,0,5,23,6,1,47,17,2,3,1,2,1,26,2,1,1,6,1,2,1,2
"hsa-miR-1908-5p",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-192-5p",38,53,47,26,45,57,34,44,94,20,24,31,43,65,42,51,46,40,19,25,28,38,34,38,60,23,46,42,42,18,24,21,23,27
"hsa-miR-197-5p",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",8,7,15,0,0,5,5,1,2,0,1,1,6,1,1,13,10,7,4,5,7,5,0,17,5,7,9,1,1,3,0,0,1,2
"hsa-miR-204-5p",8,4,6,4,9,17,0,13,1,3,4,4,4,3,0,0,11,6,8,1,0,1,9,2,8,10,9,6,3,3,1,1,1,5
"hsa-miR-210-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,75,0,0,1,0,1,0
"hsa-miR-222-3p",4,9,8,25,7,2,17,25,18,52,29,48,25,56,31,0,10,8,15,3,3,4,3,6,8,1,2,28,39,16,30,50,26,55
"hsa-miR-222-5p",1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,22,0,0,1,21,1,0
"hsa-miR-223-3p",17,12,7,18,8,7,0,4,17,17,25,27,32,32,19,21,5,2,9,2,7,20,7,9,3,16,11,5,16,13,19,4,20,60
"hsa-miR-23a-3p",4,15,20,10,7,0,9,15,9,16,17,20,16,27,18,7,16,4,15,7,3,10,11,15,4,12,8,21,29,14,4,8,20,13
