"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-181a-2-3p",4,5,2,1,4,5,0,3,3,5,3,1,1,8,0,0,4,1,2,1,1,0,0,1,6,9,1,1,1,9,3,0,1,3
"hsa-miR-181b-5p",34,14,16,6,15,31,23,11,17,16,28,22,19,43,27,22,17,9,26,3,5,7,19,22,20,14,21,15,28,21,24,2,16,38
"hsa-miR-184",11,32,0,0,3,13,5,39,6,0,2,2,1,0,5,21,6,1,45,19,2,3,1,3,1,26,3,1,1,7,1,2,1,2
"hsa-miR-1908-5p",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"hsa-miR-192-5p",44,57,47,19,50,56,36,41,84,17,25,31,42,64,46,46,40,41,18,28,31,34,35,43,61,23,43,41,45,19,28,23,22,26
"hsa-miR-197-5p",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",9,8,15,0,0,5,6,1,2,0,1,1,6,1,1,11,8,7,4,7,7,5,0,19,5,7,9,1,1,5,0,0,1,2
"hsa-miR-204-5p",9,5,6,2,10,17,0,12,1,3,4,4,4,3,0,0,9,6,8,1,0,1,10,2,9,10,9,6,3,3,1,1,1,4
"hsa-miR-210-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,74,0,0,1,0,1,0
"hsa-miR-222-3p",5,9,8,19,7,2,18,23,17,46,30,49,24,55,33,0,9,9,15,3,4,4,3,6,8,1,2,26,43,17,36,51,25,52
"hsa-miR-222-5p",1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,22,0,0,1,22,1,0
"hsa-miR-223-3p",19,13,7,14,8,6,0,4,16,14,25,27,31,31,21,19,5,3,9,2,8,18,8,10,3,16,10,5,19,15,22,4,19,57
"hsa-miR-23a-3p",5,16,20,7,8,0,10,14,8,14,17,20,15,27,19,7,14,4,15,8,3,9,12,17,4,12,7,20,32,17,5,10,19,14
"hsa-miR-23b-3p",1,1,0,1,1,1,1,1,1,2055,770,3364,1601,3517,2154,0,0,1,1,1,1,1,1,1,1,1,0,389,0,4446,406,1889,829,4363
"hsa-miR-24-3p",8,2,5,6,4,11,11,7,5,6,4,5,5,5,6,7,3,1,6,6,6,0,4,5,3,2,0,2,0,6,5,2,9,11
"hsa-miR-26b-5p",38,31,24,28,27,45,44,23,19,16,22,22,21,28,40,33,22,17,28,31,12,11,20,31,12,36,16,8,27,26,33,5,5,44
"hsa-miR-27a-3p",27,20,24,14,29,20,25,9,11,10,12,11,5,12,14,29,17,16,26,36,8,7,11,15,14,36,5,14,13,7,6,5,5,17
"hsa-miR-28-3p",60,55,52,138,104,102,84,169,113,114,140,111,105,164,86,49,48,27,60,48,32,15,46,33,30,36,56,59,104,143,114,134,82,145
"hsa-miR-30a-3p",6,2,4,2,3,0,5,1,1,0,1,4,3,5,0,7,0,3,5,2,0,0,0,3,3,7,3,3,4,1,3,0,1,2
"hsa-miR-30b-5p",10,5,0,5,5,1,5,5,2,6,6,4,6,8,7,0,6,1,2,10,1,5,8,2,2,5,0,2,2,5,2,7,5,3
"hsa-miR-30c-1-3p",1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,103,0,0,1,42
"hsa-miR-30e-3p",1,1,1,1,1,1,1,1,1,579,1080,1079,495,986,0,0,0,1,1,1,0,0,1,1,1,1,1,229,1365,1047,0,750,1,1014
"hsa-miR-30e-5p",36,68,95,50,53,47,55,64,31,36,35,42,36,55,31,72,50,41,50,72,42,62,66,40,37,42,34,30,21,26,43,35,43,43
"hsa-miR-3168",10,0,0,0,0,0,0,6,3,1,1,0,0,0,2,6,3,0,2,0,4,9,2,1,0,2,2,1,1,1,1,0,0,1
"hsa-miR-320a-3p",29,19,35,25,23,36,69,47,58,15,24,47,31,51,37,29,21,36,19,9,22,4,17,41,21,12,23,32,11,14,15,25,73,17
"hsa-miR-335-5p",5,0,0,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"hsa-miR-342-3p",44,19,25,9,31,31,30,63,30,43,43,47,57,65,35,18,29,20,14,21,42,24,24,11,15,29,12,11,89,22,39,64,37,57
"hsa-miR-342-5p",14,2,5,1,5,14,10,4,6,4,6,5,5,5,2,0,10,2,7,1,0,10,9,0,1,12,7,5,1,6,5,1,2,9
"hsa-miR-3614-5p",1,1,1,0,1,0,1,2,0,95,0,218,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,64,0,0,193,195,0,114
"hsa-miR-3615",1,1,1,1,1,1,1,1,1,1805,3120,3525,2734,2766,6649,0,0,1,1,0,1,1,1,1,1,0,1,2970,8141,734,364,1242,5910,3258
"hsa-miR-363-3p",26,34,30,10,41,25,8,24,42,6,7,18,9,22,13,48,10,17,18,15,19,43,27,33,4,14,25,6,8,10,11,5,10,11
"hsa-miR-373-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-374a-5p",1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,0,58,60,0,0
"hsa-miR-378a-3p",8,11,3,3,5,5,6,5,3,7,15,12,6,14,3,7,5,5,7,12,4,1,6,3,5,4,4,1,0,13,10,15,4,18
"hsa-miR-409-3p",9,2,0,21,13,3,9,40,30,7,7,17,2,11,3,8,0,1,12,3,3,0,3,1,1,0,1,1,3,15,9,20,1,2
"hsa-miR-425-5p",9,16,16,18,20,13,4,15,31,22,23,34,19,45,19,15,9,12,12,13,1,8,6,7,8,7,21,14,6,38,26,34,33,6
"hsa-miR-4521",6,4,0,1,3,4,0,1,2,0,2,4,5,3,2,6,0,0,1,0,6,5,5,1,3,1,1,3,7,2,1,1,1,6
"hsa-miR-4732-3p",14,10,19,0,8,3,17,6,11,2,3,6,6,10,9,27,0,12,5,5,2,20,19,11,6,12,14,12,7,6,4,3,3,0
"hsa-miR-4802-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-486-3p",15,16,4,5,11,13,8,9,25,2,3,6,7,13,6,18,4,12,2,6,13,6,14,1,9,8,10,13,5,3,4,2,8,0
"hsa-miR-500a-3p",8,1,0,2,2,0,0,3,2,6,3,6,2,0,0,5,0,7,2,0,0,1,1,0,15,0,0,1,2,5,2,4,4,4
"hsa-miR-501-3p",8,5,5,9,10,6,0,29,14,3,3,3,4,4,2,8,4,10,4,3,6,0,0,6,0,3,16,5,7,1,2,1,4,3
"hsa-miR-532-5p",1,1,0,0,1,1,1,1,1,641,548,1183,881,2625,614,0,0,1,1,1,1,1,1,1,1,1,1,339,335,1081,1,1503,690,666
"hsa-miR-584-5p",7,0,9,40,14,22,15,51,31,22,14,21,7,14,9,6,5,10,5,5,7,2,1,1,5,5,5,9,6,5,11,21,29,21
"hsa-miR-6125",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511b-3p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-652-3p",7,6,5,3,9,0,0,5,7,1,3,9,1,4,3,0,8,3,2,3,0,2,3,6,10,2,10,0,0,3,4,5,7,0
"hsa-miR-6722-5p",23,24,38,1,3,13,33,14,14,1,7,4,3,7,4,35,21,10,32,16,18,61,6,13,0,27,27,7,11,3,1,1,1,2
"hsa-miR-6816-5p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-744-5p",8,2,5,22,8,0,8,33,20,59,46,43,21,52,46,0,7,3,7,1,6,0,5,3,7,4,1,14,14,35,52,122,36,56
"hsa-miR-769-5p",1,0,1,1,1,1,0,1,1,447,615,522,381,1161,910,0,0,1,0,0,0,1,0,1,1,1,1,3324,298,0,299,0,299,0
"hsa-miR-93-3p",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,64,0,1,0
"hsa-miR-939-5p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-941",13,4,8,33,46,48,28,114,65,21,47,24,31,34,46,0,12,2,7,4,18,8,5,4,3,6,8,6,14,15,18,5,29,125
"hsa-miR-96-5p",10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0
"hsa-miR-99a-5p",7,5,13,2,4,0,2,5,1,1,1,4,0,4,5,0,10,18,2,1,3,0,4,32,1,3,0,1,2,6,6,3,2,0
