"","RT11B","RT12B","RT13B","RT14B","RT15B","RT16B","RT17B","RT19B","RT20B","RT21B","RT22B","RT23B","RT24B","RT25B","RT26B","RT29B","RT30B","RT31B","RT32B","RT33B","RT34B","RT35B","RT36B","RT37B","RT38B","RT39B","RT40B","RT42B","RT43B","RT44B","RT45B","RT46B","RT47B","RT48B"
"hsa-miR-197-5p",0,0,0,2,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-203a-3p",0,4,1,5,3,1,1,2,5,0,2,30,15,17,0,0,0,5,0,1,1,1,0,8,1,2,1,0,0,7,0,0,2,1
"hsa-miR-204-5p",0,1,0,77,97,6,0,39,11,10,6,80,10,34,0,0,0,4,1,0,0,0,2,1,1,3,1,1,1,6,1,1,1,2
"hsa-miR-210-3p",0,0,0,1,1,0,0,0,0,0,0,2047,199,3801,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,111,0
"hsa-miR-222-3p",0,4,0,331,62,0,2,61,65,250,55,1222,82,742,10,0,0,8,3,1,1,1,1,3,2,1,1,8,9,27,47,31,63,13
"hsa-miR-222-5p",0,1,0,1,1,1,0,0,1,0,0,5654,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,103,0
"hsa-miR-223-3p",1,5,0,266,73,3,0,14,67,69,40,590,90,372,6,1,0,1,2,1,1,3,1,4,1,6,2,1,4,23,25,3,50,15
"hsa-miR-23a-3p",0,6,1,125,58,0,1,35,31,73,30,497,48,356,6,0,0,2,3,2,1,1,3,8,1,5,1,6,7,30,5,5,52,4
"hsa-miR-23b-3p",0,1,0,2,1,1,1,1,1,31808,3672,201115,12194,121266,1213,0,0,1,1,0,1,1,1,1,1,1,0,0,0,20717,834,2147,5275,1750
"hsa-miR-24-3p",0,0,0,203,61,5,1,36,36,22,6,85,13,56,2,0,0,1,2,1,1,0,1,1,1,1,0,1,0,7,4,1,19,3
"hsa-miR-26b-5p",1,13,1,605,239,17,4,79,97,81,37,529,65,361,12,1,1,9,5,7,1,2,4,14,2,13,2,3,6,50,43,3,9,12
"hsa-miR-27a-3p",0,8,1,306,242,7,2,32,58,48,19,245,18,148,4,1,1,10,5,8,1,1,2,5,2,12,1,4,4,14,7,3,13,4
"hsa-miR-28-3p",1,22,2,2801,907,38,8,509,509,597,235,2680,330,2120,26,2,2,13,12,11,5,2,13,13,3,11,8,15,23,240,129,71,187,43
"hsa-miR-30a-3p",0,0,0,43,40,0,0,4,7,0,2,66,8,57,0,0,0,2,1,1,0,0,0,1,1,2,0,1,1,1,5,0,1,1
"hsa-miR-30b-5p",0,2,0,84,45,0,1,17,12,28,9,83,16,97,2,0,0,1,0,2,0,1,2,1,1,2,0,0,0,8,2,2,13,0
